Anio,SemanaEstadistica,tavg
2021,21,11.485714285714286
2021,22,12.87142857142857
2021,23,11.471428571428572
2021,24,9.071428571428571
2021,25,7.471428571428571
2021,26,8.128571428571428
2021,27,8.257142857142856
2021,28,7.1000000000000005
2021,29,10.157142857142857
2021,30,9.528571428571428
2021,31,10.4
2021,32,8.285714285714286
2021,33,11.12857142857143
2021,34,10.671428571428573
2021,35,11.828571428571427
2021,36,11.085714285714285
2021,37,11.642857142857142
2021,38,14.014285714285714
2021,39,14.157142857142857
2021,40,14.114285714285714
2021,41,14.314285714285715
2021,42,16.642857142857142
2021,43,20.3
2021,44,16.97142857142857
2021,45,17.95714285714286
2021,46,19.7
2021,47,19.442857142857143
2021,48,19.457142857142856
2021,49,18.257142857142856
2021,50,19.82857142857143
2021,51,22.62857142857143
2021,52,21.16
2021,53,22.333333333333332
2022,1,21.62857142857143
2022,2,21.32857142857143
2022,3,19.185714285714287
2022,4,20.271428571428572
2022,5,21.185714285714287
2022,6,21.185714285714287
2022,7,21.142857142857142
2022,8,18.857142857142858
2022,9,20.785714285714285
2022,10,19.842857142857145
2022,11,19.571428571428573
2022,12,17.042857142857144
2022,13,16.914285714285715
2022,14,17.014285714285712
2022,15,14.342857142857143
2022,16,14.114285714285714
2022,17,12.842857142857142
2022,18,12.9
2022,19,13.114285714285714
2022,20,10.957142857142857
2022,21,10.285714285714286
2022,22,8.928571428571429
2022,23,11.314285714285715
2022,24,7.985714285714286
2022,25,8.0
2022,26,7.914285714285714
2022,27,7.128571428571428
2022,28,6.3428571428571425
2022,29,9.171428571428573
2022,30,9.314285714285715
2022,31,8.457142857142857
2022,32,9.171428571428573
2022,33,10.571428571428571
2022,34,11.857142857142858
2022,35,12.085714285714285
2022,36,11.114285714285714
2022,37,11.271428571428572
2022,38,10.799999999999999
2022,39,14.657142857142857
2022,40,13.857142857142858
2022,41,16.414285714285715
2022,42,15.642857142857142
2022,43,16.657142857142855
2022,44,17.614285714285714
2022,45,15.471428571428572
2022,46,21.400000000000002
2022,47,22.5
2022,48,20.400000000000002
2022,49,24.085714285714285
2022,50,22.942857142857143
2022,51,21.642857142857142
2022,52,20.8375
2023,1,16.9
2023,2,16.400000000000002
2023,3,17.114285714285714
2023,4,16.457142857142856
2023,5,17.185714285714287
2023,6,17.271428571428572
2023,7,16.414285714285715
2023,8,16.1
2023,9,17.04285714285714
2023,10,16.071428571428573
2023,11,15.885714285714286
2023,12,15.757142857142856
2023,13,14.057142857142859
2023,14,13.771428571428572
2023,15,13.928571428571429
2023,16,12.742857142857144
2023,17,14.414285714285715
2023,18,10.385714285714286
2023,19,15.200000000000001
2023,20,12.299999999999999
2023,21,11.085714285714285
2023,22,12.657142857142857
2023,23,11.185714285714285
2023,24,9.142857142857142
2023,25,12.042857142857143
2023,26,10.257142857142856
2023,27,9.157142857142857
2023,28,9.114285714285714
2023,29,10.842857142857143
2023,30,11.771428571428572
2023,31,12.414285714285715
2023,32,12.071428571428571
2023,33,12.257142857142856
2023,34,10.942857142857141
2023,35,12.328571428571427
2023,36,11.785714285714286
2023,37,12.557142857142859
2023,38,12.5
2023,39,13.285714285714286
2023,40,12.885714285714286
2023,41,15.62857142857143
2023,42,15.814285714285715
2023,43,14.5
2023,44,14.271428571428572
2023,45,16.02857142857143
2023,46,15.071428571428571
2023,47,19.228571428571428
2023,48,18.242857142857144
2023,49,20.62857142857143
2023,50,19.485714285714288
2023,51,20.75714285714286
2023,52,19.8
2024,1,20.8
